Seafood,Calories,Calories from Fat,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,TotalCarbohydrate,Protein,VitaminA,VitaminC,Calcium,Iron
Blue Crab,100,10,1,0,95,330,300,0,20,0,4,10,4
Catfish,130,60,6,2,50,40,230,0,17,0,0,0,0
Clams,110,15,1.5,0,80,95,470,6,17,10,0,8,30
Cod,90,5,1,0,50,65,460,0,20,0,2,2,2
Flounder,100,15,1.5,0,55,100,390,0,19,0,0,2,0
Haddock,100,10,1,0,70,85,340,0,21,2,0,2,6
Halibut,120,15,2,0,40,60,500,0,23,4,0,2,6
Lobster,80,0,0.5,0,60,320,300,1,17,2,0,6,2
Ocean Perch,110,20,2,0.5,45,95,290,0,21,0,2,10,4
Oysters,100,35,4,1,80,300,220,6,10,0,6,6,45
Pollock,90,10,1,0,80,110,370,0,20,2,0,0,2
Rainbow Trout,140,50,6,2,55,35,370,0,20,4,4,8,2
Rockfish,110,15,2,0,40,70,440,0,21,4,0,2,2
Salmon,200,90,10,2,70,55,430,0,24,4,4,2,2
Scallops,140,10,1,0,65,310,430,5,27,2,0,4,14
Shrimp,100,10,1.5,0,170,240,220,0,21,4,4,6,10
Swordfish,120,50,6,1.5,40,100,310,0,16,2,2,0,6
Tilapia,110,20,2.5,1,75,30,360,0,22,0,2,0,2
Tuna,130,15,1.5,0,50,40,480,0,26,2,2,2,4
