Vegetables,Calories,Calories from Fat,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrate,Protein,Vitamin A,Vitamin C,Calcium,Iron
Asparagus,20,0,0,,,0,230,4,2,10,15,2,2
Bell Pepper,25,0,0,,,40,220,6,1,4,190,2,4
Broccoli,45,0,0.5,,,80,460,8,4,6,220,6,6
Carrot,30,0,0,,,60,250,7,1,110,10,2,2
Cauliflower,25,0,0,,,30,270,5,2,0,100,2,2
Celery,15,0,0,,,115,260,4,0,10,15,4,2
Cucumber,10,0,0,,,0,140,2,1,4,10,2,2
Green (Snap) Beans,20,0,0,,,0,200,5,1,4,10,4,2
Green Cabbage,25,0,0,,,20,190,5,1,0,70,4,2
Green Onion,10,0,0,,,10,70,2,0,2,8,2,2
Iceberg Lettuce,10,0,0,,,10,125,2,1,6,6,2,2
Leaf Lettuce,15,0,0,,,35,170,2,1,130,6,2,4
Mushrooms,20,0,0,,,15,300,3,3,0,2,0,2
Onion,45,0,0,,,5,190,11,1,0,20,4,4
Potato,110,0,0,,,0,620,26,3,0,45,2,6
Radishes,10,0,0,,,55,190,3,0,0,30,2,2
Summer Squash,20,0,0,,,0,260,4,1,6,30,2,2
Sweet Corn,90,20,2.5,,,0,250,18,4,2,10,0,2
Sweet Potato,100,0,0,,,70,440,23,2,120,30,4,4
Tomato,25,0,0,,,20,340,5,1,20,40,2,4
